Руст,Рзаб,Pлин,Руст.1,Рзаб.1,Рлин,Тзаб,Tлин,Дебит газа,Дебит ст. конд.,Дебит воды,Дебит смеси,Дебит гааз,Дебит кон нестабильный,Pсб,Pсб.1,G_total,КГФ
1990,33252,10025,1990,3297,10008,1053,4594,4761,858,5,49108,41220,1329,910,8981,,
1870,3005,10376,1870,3000,1079,10452,1682,1003,857,2,11787,75563,2689,1011,9978,,
1770,2611,10398,1770,2596,10398,10413,2743,2068,1152,22,23197,13280,1867,1020,10067,,
1570,2316,10254,1570,2274,10251,10374,3398,2515,1197,36,27893,17900,1917,1008,9948,,
1400,2079,10327,1400,2062,10334,10337,3951,2750,1195,38,30116,20560,1911,1015,10017,,
1290,1920,10387,1290,1920,10387,10309,4289,2759,1122,38,30136,21190,1793,1022,10086,,
1439,22679,10205,1430,2268,10114,1033,2156,1198,518,4,13207,7650,703,980,9672,,
1385,21011,10059,1380,2100,1004,10317,2758,1684,706,10,18512,11800,948,980,9672,,
1300,19468,10126,1280,1946,10141,10297,3428,2004,794,12,2192,14990,1060,985,9721,,
1201,18113,10132,1190,1811,10094,10273,3884,2215,826,18,24106,173618,1093,983,9701,,
1111,16925,1004,1090,1692,9535,1025,4208,2285,840,20,24839,186995,1105,982,9692,,
25635,34684,10435,25635,3448,10697,1062,2432,1439,5487,0,37072,9180,990,1037,10234,,
24217,33883,10722,24217,3377,10439,1064,3707,29473,12743,232,37072,201683,1894,1030,10165,,
23507,33113,10628,23507,3310,10625,10647,4374,38333,16346,238,37072,280894,2406,1026,10126,,
22595,32211,1069,22595,3212,10681,1064,4883,47093,19889,289,37072,35670,2922,1025,10116,,
21886,3134,10851,21886,3175,10845,1067,5257,53644,22308,789,37072,41110,3284,1039,10254,,
24804,34633,9867,2450,3464,9806,1065,2647,21169,10038,139,23599,14990,1722,974,9613,,
24115,34005,9975,2350,3400,9758,1066,3603,2941,13771,118,32016,22283,2357,974,9613,,
23193,33252,10073,2300,3325,10092,1066,4269,3757,17526,18,40886,29570,2298,982,9692,,
21967,32313,10144,2150,3231,1000,1065,4771,46732,21329,292,50768,37880,3648,1001,9879,,
2067,3137,10161,2030,3137,10612,1064,5194,5380,25309,258,58588,44550,4311,986,9731,,
2221,31299,9901,2180,3129,979,10661,252,19601,6286,33,21327,13910,1109,981,9682,,
2138,30489,9926,2120,3050,9743,1066,3247,26704,887,31,28678,20260,1556,977,9642,,
1986,29458,9884,2000,2947,9865,1065,389,33665,11534,7,36231,27200,2015,971,9583,,
18846,28249,983,1960,2826,9786,1064,4463,40621,14215,273,43784,34640,2469,977,9642,,
17327,27013,9739,1740,2705,9738,1063,4834,45928,15891,33,49464,40880,2739,952,9396,,
1489,20628,923,1490,1946,923,10325,315,19641,308,11,2011,16450,582,898,8863,,
1376,1975,927,1340,1806,928,10312,383,24456,352,1,24992,21180,667,901,8892,,
1313,18907,920,1290,1620,930,10295,429,27576,346,4,2812,24740,661,896,8843,,
1209,17956,933,1190,1600,927,10272,475,31262,316,56,31759,29130,590,896,8843,,
21988,3161,10182,21988,3162,10192,1062,2366,12837,3974,6,13682,8840,689,1018,10047,,2410.0
20164,2815,10387,20164,2759,10397,1064,3656,24458,6758,14,2592,18670,1204,1036,10225,,2160.0
18239,2579,10306,18239,2580,10345,10647,4263,29581,7129,218,31124,24450,1239,1026,10126,,1910.0
16313,2365,10428,16313,2378,10434,1064,4802,3305,7459,25,34664,28690,1264,1039,10254,,1770.0
14996,2212,10443,14996,2213,10462,1067,5058,3467,7312,255,36252,31120,1214,1040,10264,,1640.0
2120,30556,1008,2150,3056,997,1065,259,16215,454,6,17204,11680,790,998,9849,,2190.0
21063,29869,1006,2090,2987,1006,1066,285,18982,528,10,20132,14010,931,998,9849,,2180.0
19352,27823,1006,1930,2782,1006,1066,363,25043,639,15,26435,19960,1108,1001,9879,,2000.0
17523,25621,1012,1730,2562,1012,1065,410,30559,630,17,31931,25450,1155,1001,9879,,1610.0
15335,23419,1013,1540,2342,1016,1064,462,34429,690,9,35932,30430,1132,1003,9899,,1570.0
13816,2169,1014,1380,2168,1002,10643,497,36023,711,8,37572,33200,1168,1007,9938,,1540.0
16362,1740,9205,1630,1740,9095,10255,2594,14568,3394,24,15432,11870,609,900,8882,,1800.0
1636,22846,9259,1640,2291,9264,10251,2581,14572,3363,24,15429,11680,601,904,8922,,1780.0
1630,2281,9263,1630,2314,9415,10207,2624,14477,3385,24,15339,11720,598,907,8951,,1800.0
28878,3825,1019,28878,3786,1041,1062,259,16859,483,8,17886,18910,1168,1015,10017,,2240.0
2827,3737,1038,2827,3796,1035,1064,401,35422,898,32,37332,11920,826,1015,10017,,1990.0
27155,3657,1036,27155,3727,1029,10647,461,46041,1173,6,48534,27400,1528,1032,10185,,2010.0
25433,3545,1041,25433,3641,1038,1064,505,56907,1384,16,59849,37300,1965,1027,10136,,1910.0
23913,3459,1058,23913,3546,1040,1067,540,6481,1580,18,68169,47260,2324,1031,10175,,1920.0
2680,37004,950,2680,3701,954,10498,304,24661,699,12,26147,19670,1147,943,9307,,2220.0
2620,36468,949,2620,3646,949,10518,375,35009,944,14,37016,29700,1545,935,9228,,2120.0
2520,35712,970,2520,3570,969,10524,437,45211,1176,14,47712,38690,1967,953,9405,,2040.0
2374,34744,957,2380,3475,958,10523,479,5622,1420,21,59239,50120,2357,942,9297,,1980.0
2200,33788,998,2200,3377,993,10516,521,65325,1547,23,68615,57330,2643,985,9721,,1860.0
24112,3352,887,2410,3355,890,10468,272,21534,554,11,22654,17730,931,897,8853,,2010.0
2400,3281,912,2400,3284,914,10484,357,31261,727,19,32543,27500,1192,889,8774,,1820.0
2290,3180,980,2280,3183,989,10485,425,40923,863,35,42474,35830,1439,910,8981,,1650.0
2150,3078,986,2150,3081,972,10478,463,47909,935,47,49563,41650,1568,944,9317,,1530.0
1980,2936,985,1970,2939,984,10463,505,5685,1066,64,58736,51130,1743,940,9277,,1470.0
23123,3091,926,2300,3071,927,1044,281,2158,505,45,22486,17590,847,899,8872,,1820.0
2172,2939,931,2150,2939,933,1046,413,38768,720,15,40375,34540,1230,908,8961,,1450.0
2827,37505,10618,2827,3721,10549,1066,2416,16479,4763,87,17168,10470,750,1060,10461,,
26851,35677,10642,26851,3546,10484,1068,3677,33998,10007,507,35442,24220,1566,1058,10442,,
2523,34086,10653,2523,3370,1063,1067,4281,42446,12434,169,44302,31750,1940,1058,10442,,
23203,32367,1061,23203,3215,10574,1065,4777,5067,14928,152,52901,39550,2318,1054,10402,,
2138,30671,10611,2138,3183,10664,1063,5115,56391,16569,142,5890,45110,2568,1066,10521,,
2410,33597,8982,2410,3334,8759,10673,2199,23676,6737,5,24597,15990,995,865,8537,,
23122,32547,8944,2290,3217,8937,1067,2949,33107,872,155,34292,23820,1280,880,8685,,
21912,31169,9174,2170,3066,9169,10659,3695,42097,10768,291,43568,31000,1589,897,8853,,
18839,28876,9632,1860,2804,10059,10627,4601,58589,14076,514,60536,43430,2104,927,9149,,
2248,31964,8746,2240,3175,8687,10538,2329,2074,613,13,21937,18520,913,837,8261,,
2165,31028,8916,2140,2993,9002,10536,3078,2861,750,12,30083,26470,1119,855,8438,,
1975,29138,9207,1940,2773,9177,10516,3769,3564,831,15,37128,33240,1250,886,8744,,
1822,27159,9326,1790,2586,927,10491,4183,3946,851,15,40897,37280,1283,897,8853,,
1570,24908,9647,1530,2335,10006,1045,4772,4556,894,17,47101,43020,1359,873,8616,,
2119,28939,9113,2080,2896,913,1049,2484,18843,6147,112,20087,15500,924,882,8705,,
2040,28287,9117,2010,2753,9162,10488,3158,26104,7291,475,27371,22650,1089,885,8734,,
1875,26748,9153,1840,2550,8951,10469,3748,32337,8249,628,33768,29180,1227,898,8863,,
